questionText,clean_answer
Hi,Hello there. Tell me how are you feeling today?
Hi,Hi there. What brings you here today?
Hi,Hi there. How are you feeling today?
Hi,Great to see you. How do you feel currently?
Hi,Hello there. Glad to see you're back. What's going on in your world right now?
Hey,Hello there. Tell me how are you feeling today?
Hey,Hi there. What brings you here today?
Hey,Hi there. How are you feeling today?
Hey,Great to see you. How do you feel currently?
Hey,Hello there. Glad to see you're back. What's going on in your world right now?
Is anyone there?,Hello there. Tell me how are you feeling today?
Is anyone there?,Hi there. What brings you here today?
Is anyone there?,Hi there. How are you feeling today?
Is anyone there?,Great to see you. How do you feel currently?
Is anyone there?,Hello there. Glad to see you're back. What's going on in your world right now?
Hi there,Hello there. Tell me how are you feeling today?
Hi there,Hi there. What brings you here today?
Hi there,Hi there. How are you feeling today?
Hi there,Great to see you. How do you feel currently?
Hi there,Hello there. Glad to see you're back. What's going on in your world right now?
Hello,Hello there. Tell me how are you feeling today?
Hello,Hi there. What brings you here today?
Hello,Hi there. How are you feeling today?
Hello,Great to see you. How do you feel currently?
Hello,Hello there. Glad to see you're back. What's going on in your world right now?
Hey there,Hello there. Tell me how are you feeling today?
Hey there,Hi there. What brings you here today?
Hey there,Hi there. How are you feeling today?
Hey there,Great to see you. How do you feel currently?
Hey there,Hello there. Glad to see you're back. What's going on in your world right now?
Howdy,Hello there. Tell me how are you feeling today?
Howdy,Hi there. What brings you here today?
Howdy,Hi there. How are you feeling today?
Howdy,Great to see you. How do you feel currently?
Howdy,Hello there. Glad to see you're back. What's going on in your world right now?
Hola,Hello there. Tell me how are you feeling today?
Hola,Hi there. What brings you here today?
Hola,Hi there. How are you feeling today?
Hola,Great to see you. How do you feel currently?
Hola,Hello there. Glad to see you're back. What's going on in your world right now?
Bonjour,Hello there. Tell me how are you feeling today?
Bonjour,Hi there. What brings you here today?
Bonjour,Hi there. How are you feeling today?
Bonjour,Great to see you. How do you feel currently?
Bonjour,Hello there. Glad to see you're back. What's going on in your world right now?
Konnichiwa,Hello there. Tell me how are you feeling today?
Konnichiwa,Hi there. What brings you here today?
Konnichiwa,Hi there. How are you feeling today?
Konnichiwa,Great to see you. How do you feel currently?
Konnichiwa,Hello there. Glad to see you're back. What's going on in your world right now?
Guten tag,Hello there. Tell me how are you feeling today?
Guten tag,Hi there. What brings you here today?
Guten tag,Hi there. How are you feeling today?
Guten tag,Great to see you. How do you feel currently?
Guten tag,Hello there. Glad to see you're back. What's going on in your world right now?
Ola,Hello there. Tell me how are you feeling today?
Ola,Hi there. What brings you here today?
